r_r,p_p,y_a,x_x,y_y,z_z
"-0.0010073716985061765,","-0.0011887495638802648,","0.0006242837407626212,","-0.0085753770545125,","-0.018458712846040726,",1.01994204521179
"-0.0022949811536818743,","-0.0015120645985007286,","0.0014902136754244566,","-0.016298171132802963,","-0.03680165112018585,",2.02335119247437
"-0.003616857808083296,","-0.0012061166344210505,","0.0025377420242875814,","-0.0232678335160017,","-0.05574619024991989,",3.04154849052429
"-0.005012630484998226,","-0.0013445357326418161,","0.003474040422588587,","-0.03090696409344673,","-0.07511653006076813,",4.10811710357666
"-0.006349277216941118,","-0.0021001636050641537,","0.003858004231005907,","-0.03948725759983063,","-0.09445448964834213,",5.19188213348389
"-0.008016711100935936,","-0.0033492357470095158,","0.004332891199737787,","-0.05600894242525101,","-0.11383326351642609,",6.28590202331543
"-0.009740259498357773,","-0.004379812628030777,","0.004812327679246664,","-0.07499339431524277,","-0.13315224647521973,",7.37658262252808
"-0.01222887635231018,","-0.004600681364536285,","0.005414991639554501,","-0.09754332900047302,","-0.15240439772605896,",8.46231269836426
"-0.015042183920741081,","-0.004489123821258545,","0.0060296813026070595,","-0.12338659167289734,","-0.17180950939655304,",9.5517578125
"-0.01819503866136074,","-0.004412136506289244,","0.0064493389800190926,","-0.15418273210525513,","-0.19172407686710358,",10.6658697128296
"-0.02111915871500969,","-0.00482137268409133,","0.006882623769342899,","-0.18869808316230774,","-0.21222412586212158,",11.7994585037231
"-0.023701613768935204,","-0.005612741690129042,","0.007358489092439413,","-0.22615185379981995,","-0.23268096148967743,",12.9449586868286
"-0.025957003235816956,","-0.007935414090752602,","0.007902230136096478,","-0.2668713927268982,","-0.25304508209228516,",14.1316509246826
"-0.02830391377210617,","-0.010048321448266506,","0.008565465919673443,","-0.3109402656555176,","-0.27420687675476074,",15.3649730682373
"-0.030727794393897057,","-0.01055864617228508,","0.0092848502099514,","-0.3574659526348114,","-0.2958172857761383,",16.5994606018066
"-0.03341478481888771,","-0.010515748523175716,","0.010025923140347004,","-0.40862971544265747,","-0.3186187744140625,",17.8812866210938
"-0.03666486218571663,","-0.01039938535541296,","0.010531346313655376,","-0.46556994318962097,","-0.3421141505241394,",19.2048950195312
"-0.039265863597393036,","-0.011951633729040623,","0.010847504250705242,","-0.5270889401435852,","-0.3659387528896332,",20.5797710418701
"-0.041354700922966,","-0.014289307408034801,","0.011209055781364441,","-0.5916451215744019,","-0.3902215361595154,",21.9865646362305
"-0.04263702407479286,","-0.016084713861346245,","0.012064055539667606,","-0.6569186449050903,","-0.4153355062007904,",23.4241676330566
"-0.04429388418793678,","-0.015354902483522892,","0.01376720704138279,","-0.7224090099334717,","-0.4413924217224121,",24.8263931274414
"-0.045856185257434845,","-0.014232593588531017,","0.015298658981919289,","-0.7918007969856262,","-0.4686441123485565,",26.251802444458
"-0.04804414138197899,","-0.01237138919532299,","0.016438649967312813,","-0.8636676073074341,","-0.49604925513267517,",27.6632499694824
"-0.049810126423835754,","-0.01196831651031971,","0.017208751291036606,","-0.938607931137085,","-0.5231347680091858,",29.0799179077148
"-0.051773373037576675,","-0.011309593915939331,","0.018097883090376854,","-1.015730619430542,","-0.5493894219398499,",30.4735794067383
"-0.05341460928320885,","-0.011539624072611332,","0.01860675774514675,","-1.0955774784088135,","-0.5751078724861145,",31.8730945587158
"-0.05469738692045212,","-0.012216120027005672,","0.01901114359498024,","-1.1770973205566406,","-0.6002547740936279,",33.2617034912109
