u,pp,nnmn,g_x,b,m,n,g_y,p,q,r,s
0,0,0,0,0,0,0,0,0,0,0,0
0.9999996,-0.0009035185,-0.0002101169,0.001289128,0.0009037964,0.9999987,0.001325646,-0.01821616,0.0002089193,-0.001325834,0.9999991,1.310643
0.9999985,-0.001646347,-0.0005538205,0.0004448326,0.001647375,0.9999969,0.001859719,-0.04203318,0.0005507574,-0.001860627,0.9999981,2.625299
0.9999939,-0.003413454,-0.0007312197,0.002037581,0.003413847,0.999994,0.000536192,-0.06302801,0.0007293855,-0.0005386841,0.9999996,3.94173
0.9999932,-0.003635348,-0.0006434003,0.002777892,0.003635872,0.999993,0.0008141188,-0.08483761,0.0006404366,-0.0008164517,0.9999995,5.261017
0.9999922,-0.003925219,-0.000516224,0.004157928,0.003926062,0.9999909,0.001640787,-0.1014678,0.0005097792,-0.0016428,0.9999985,6.581638
0.9999848,-0.005504052,-0.0004169862,0.007571022,0.005505158,0.9999812,0.002694454,-0.1165874,0.0004021483,-0.002696707,0.9999963,7.908775
0.9999864,-0.005184552,-0.0005975596,0.008323818,0.005186662,0.9999801,0.003583038,-0.1328035,0.0005789716,-0.003586087,0.9999934,9.238962
0.9999889,-0.00463087,-0.0008604706,0.007728339,0.004632472,0.9999875,0.001867105,-0.1497649,0.0008518139,-0.00187107,0.9999979,10.56963
0.9999977,-0.001900807,-0.0009601046,0.006780918,0.001900055,0.9999979,-0.0007842219,-0.1634547,0.0009615936,0.0007823964,0.9999992,11.90426
0.9999986,0.001543588,-0.000621867,0.003419395,-0.001544659,0.9999973,-0.001724973,-0.176748,0.0006192031,0.001725931,0.9999983,13.24208
0.999992,0.003962554,-0.0005304797,-0.001862182,-0.003963388,0.9999909,-0.001579139,-0.1959202,0.0005242178,0.001581229,0.9999986,14.58048
0.9999865,0.005189813,-0.0003869434,-0.005851755,-0.00519015,0.9999861,-0.0008728856,-0.2177602,0.0003824083,0.0008748826,0.9999996,15.93066
0.9999955,0.00299309,2.876761E-05,-0.004267715,-0.002993137,0.9999939,0.001769063,-0.236414,-2.347214E-05,-0.001769141,0.9999984,17.28222
0.9999996,-0.0008993856,0.0002524904,0.000482789,0.0008983692,0.9999916,0.003998216,-0.2537475,-0.0002560839,-0.003997986,0.999992,18.63469
0.9999934,-0.003638641,-3.959215E-05,0.005006086,0.003638708,0.9999917,0.001831392,-0.2699101,3.292839E-05,-0.001831523,0.9999983,19.9867
0.9999869,-0.005119262,-0.0002320356,0.004134686,0.005119134,0.9999867,-0.0005539281,-0.2931092,0.0002348686,0.0005527336,0.9999998,21.34127
0.9999959,-0.002848774,0.0004262615,-0.0007654745,0.00284965,0.9999938,-0.002066802,-0.3222297,-0.0004203707,0.002068008,0.9999978,22.70575
0.9999992,0.0001424853,0.001245425,-0.007369324,-0.0001415313,0.9999997,-0.0007660729,-0.3468119,-0.001245534,0.0007658967,0.9999989,24.0721
0.9999971,0.001440634,0.001942058,-0.009719264,-0.001451156,0.9999842,0.005427244,-0.3687424,-0.001934208,-0.005430044,0.9999834,25.44868
