a,b,g_x,c,g_y,d,e,f,g,h,I,j
0.9998804,0.001381571,0.01540756,0.01210187,-0.001365955,0.9999985,-0.00102397,0.0004468736,-0.01540895,0.001002801,0.9998808,0.1267281
0.9993411,0.00413927,0.03605873,0.03021791,-0.004118323,0.9999913,-0.0006552072,0.0009791738,-0.03606113,0.0005062745,0.9993495,0.268623
0.9980124,0.005708759,0.06275818,0.05987546,-0.00576068,0.9999832,0.0006463838,0.002308105,-0.06275344,-0.001006628,0.9980286,0.4305403
0.9953527,0.005411577,0.09614398,0.1050408,-0.005718903,0.9999794,0.002921236,0.003322381,-0.09612619,-0.003457497,0.9953632,0.6034613
0.990997,0.002437994,0.133862,0.1652963,-0.003155109,0.9999818,0.00514525,0.005264528,-0.133847,-0.005521275,0.9909866,0.7870087
0.9848812,-0.0008797585,0.1732288,0.2401943,-0.0001148614,0.9999835,0.005731548,0.007625042,-0.173231,-0.00566479,0.9848649,0.9812571
0.9763389,-0.001209269,0.2162426,0.3220547,-0.0003105266,0.9999755,0.006994083,0.01121243,-0.2162458,-0.006895743,0.9763146,1.185453
0.9644808,-0.001175212,0.2641504,0.4170054,-0.001347063,0.9999552,0.009367301,0.0147447,-0.2641496,-0.009390408,0.964436,1.399473
0.9500987,-0.004177904,0.3119216,0.5318267,-0.001009852,0.9998639,0.01646823,0.01361741,-0.3119479,-0.01596143,0.9499651,1.620036
0.9333565,-0.01416072,0.3586714,0.6772189,0.005593755,0.999674,0.02491176,0.01304237,-0.3589072,-0.02124523,0.9331314,1.841928
0.912332,-0.0201489,0.4089552,0.8328051,0.008864985,0.9995264,0.02946912,0.01601613,-0.4093553,-0.02326024,0.9120785,2.063052
0.8872656,-0.02177657,0.4607445,0.9991018,0.007355619,0.9994259,0.03307187,0.01908196,-0.4612002,-0.02595447,0.8869164,2.286905
0.859021,-0.02409304,0.5113731,1.18805,0.005460112,0.9992663,0.03790778,0.02416489,-0.5119112,-0.02977142,0.8585223,2.5128
0.8270453,-0.02918261,0.5613773,1.399778,0.006631357,0.9990885,0.04216697,0.03070196,-0.5620962,-0.0311513,0.826485,2.733367
0.7911863,-0.03486678,0.6105806,1.634196,0.008791727,0.9989188,0.04565031,0.03653765,-0.6115121,-0.03074984,0.7906374,2.948016
0.7532744,-0.03928513,0.6565321,1.890112,0.009846352,0.9987762,0.04846688,0.04599883,-0.6576327,-0.0300444,0.7527394,3.160521
0.7135453,-0.04262496,0.6993113,2.166152,0.01112298,0.9987109,0.04952483,0.0599496,-0.7005209,-0.02755978,0.7130996,3.369735
0.671642,-0.04460763,0.7395317,2.465897,0.01077426,0.9986683,0.05045326,0.07581133,-0.7407975,-0.02591862,0.6712282,3.579897
0.6289069,-0.04493066,0.7761812,2.784666,0.006144236,0.9985848,0.05282648,0.09232525,-0.7774563,-0.0284539,0.628293,3.792151
0.5870428,-0.04577422,0.8082608,3.131897,0.003200808,0.9985236,0.05422462,0.1077991,-0.8095496,-0.02924508,0.5863226,4.000366
0.5468504,-0.04700298,0.8359099,3.507611,0.00157947,0.998479,0.05511092,0.1241318,-0.8372289,-0.02881713,0.5460929,4.202254
0.5079969,-0.04952766,0.8599338,3.909356,0.0003120507,0.998356,0.05731572,0.1392366,-0.8613589,-0.02884786,0.5071772,4.402127
0.4705742,-0.04939765,0.8809766,4.338561,-0.002506181,0.9983528,0.05731779,0.1575565,-0.8823569,-0.02918016,0.4696753,4.60041
0.4341107,-0.04876219,0.8995388,4.794196,-0.003833407,0.9984249,0.05597259,0.1775272,-0.9008514,-0.0277466,0.43324,4.791823
0.4001985,-0.04738002,0.9152029,5.277728,-0.002459822,0.9986035,0.0527733,0.1987946,-0.9164252,-0.02337103,0.399523,4.974126
0.3705133,-0.04579345,0.9276976,5.789743,-0.0003407336,0.9987771,0.0494382,0.2220149,-0.9288271,-0.01863361,0.3700446,5.152037
0.3447498,-0.04391011,0.937667,6.329744,0.001047874,0.9989227,0.0463934,0.2453956,-0.938694,-0.01501156,0.3444245,5.330723
0.3239119,-0.04320487,0.9451002,6.895352,0.002240032,0.9989889,0.04490066,0.2686406,-0.9460846,-0.0124268,0.3236812,5.510973
0.3087526,-0.04375508,0.9501354,7.490216,0.003193237,0.9989833,0.04496694,0.2909019,-0.9511371,-0.01084965,0.3085784,5.692965
0.2971358,-0.04535063,0.9537576,8.109243,0.004506657,0.9989269,0.0460944,0.3131206,-0.9548246,-0.009398038,0.2970213,5.878028
0.2861734,-0.04734783,0.9570073,8.752695,0.003322596,0.9988214,0.04842303,0.3367873,-0.9581721,-0.01067764,0.2859935,6.068197
0.2755822,-0.04911161,0.9600221,9.421853,0.001669367,0.998717,0.05061191,0.3626882,-0.9612761,-0.01234511,0.2753106,6.260273
0.2654907,-0.05082935,0.9627726,10.11201,0.0009290294,0.9986223,0.05246585,0.3902645,-0.964113,-0.01303475,0.2651722,6.449695
0.2552866,-0.05276707,0.9654245,10.82597,-0.0001024058,0.9985081,0.05460241,0.4193165,-0.9668655,-0.01403813,0.2549003,6.636983
0.244707,-0.05444156,0.9680674,11.55971,-0.000243316,0.9984189,0.05620996,0.4514517,-0.9695971,-0.01399052,0.2443069,6.820541
0.2344779,-0.05557489,0.9705316,12.31146,-0.0002675058,0.9983608,0.05723309,0.486118,-0.9721215,-0.01367952,0.2340787,7.00076
0.2239597,-0.05876757,0.972825,13.08227,-0.001673765,0.9981557,0.06068311,0.5233622,-0.974597,-0.01521885,0.2234483,7.178249
0.2126916,-0.06187357,0.9751584,13.86203,-0.003499256,0.9979385,0.06408219,0.5631455,-0.9771131,-0.01704207,0.2120367,7.35029
0.2005651,-0.06644519,0.9774245,14.64994,-0.004535082,0.9976237,0.06874892,0.60349,-0.9796699,-0.01822133,0.1997872,7.512325
0.1876917,-0.0688522,0.9798118,15.44431,-0.005479795,0.9974512,0.07114144,0.6443426,-0.9822127,-0.01872182,0.186836,7.663696
0.1736602,-0.06949137,0.9823508,16.24124,-0.005967304,0.9974147,0.0716119,0.6849788,-0.9847876,-0.01829812,0.1727966,7.803818
0.1593308,-0.06850007,0.9848459,17.04599,-0.007306808,0.9974807,0.070561,0.7272439,-0.9871982,-0.01843862,0.1584289,7.933466
0.1429603,-0.06748327,0.9874251,17.85699,-0.007923195,0.9975628,0.06932325,0.7679911,-0.9896967,-0.01773403,0.1420772,8.048258
0.1227354,-0.06585881,0.9902518,18.67273,-0.01036799,0.9976561,0.06763631,0.8064539,-0.9923853,-0.01856829,0.1217649,8.147356
0.09757047,-0.06460911,0.9931292,19.49576,-0.01483434,0.9976852,0.06636292,0.8456493,-0.9951181,-0.02120748,0.09638618,8.22821
0.06770294,-0.06432262,0.9956299,20.32201,-0.01914779,0.997652,0.06575532,0.8850078,-0.9975218,-0.02351593,0.06631234,8.284769
0.03479944,-0.0638987,0.9973494,21.15627,-0.02241608,0.9976529,0.06470029,0.9232781,-0.9991429,-0.0246082,0.03328541,8.311045
0.00055469,-0.06357691,0.9979768,21.99272,-0.02432321,0.9976808,0.06357158,0.958563,-0.999704,-0.02430926,-0.000992993,8.306307
-0.03340201,-0.0624778,0.9974872,22.83006,-0.02520042,0.9977795,0.06165225,0.9929263,-0.9991243,-0.02307779,-0.03490231,8.271717
-0.06618836,-0.06032882,0.9959817,23.6683,-0.02699712,0.9979134,0.05865173,1.025646,-0.9974419,-0.02300657,-0.06767896,8.211107
-0.09850067,-0.05772373,0.9934614,24.50483,-0.02971433,0.9980417,0.05504372,1.05628,-0.9946933,-0.0240982,-0.100023,8.124873
-0.1309164,-0.05342831,0.9899527,25.33863,-0.02760771,0.998356,0.05023087,1.084175,-0.991009,-0.02075428,-0.1321762,8.006449
-0.1625338,-0.04777256,0.9855458,26.16891,-0.02228189,0.9987502,0.04473795,1.109162,-0.9864514,-0.0146884,-0.1633951,7.855574
-0.1929807,-0.04087264,0.9803509,26.99155,-0.0163938,0.9991268,0.03842835,1.128261,-0.9810656,-0.008655744,-0.1934823,7.679836
-0.2217761,-0.03548258,0.9744518,27.81161,-0.01032218,0.9993671,0.03404059,1.143099,-0.975043,-0.002509075,-0.222002,7.478533
-0.2497958,-0.02943698,0.967851,28.63097,-0.002214569,0.9995525,0.02982961,1.152061,-0.968296,0.005307937,-0.2497493,7.246691
